"mdbf1" "mdbf2" "mdbf3" "mdbf4" "mdbf5" "mdbf6" "mdbf7" "mdbf8" "mdbf9" "mdbf10" "mdbf11" "mdbf12" "time_pre" "lz" "extra" "vertr" "gewis" "neuro" "offen" "prok" "trust" "uni1" "uni2" "uni3" "uni4" "sicher" "angst" "fach" "ziel" "wissen" "therap" "lerntyp" "hand" "job" "ort" "ort12" "wohnen" "attent_pre" "gs_post" "wm_post" "ru_post" "time_post" "attent_post"
"84" 4 3 1 1 1 2 2 3 1 3 1 4 41 6 2.5 3 5 3.5 5 2.6 4.16666666666667 0 1 0 0 4 3 4 NA NA NA 1 2 2 2 1 1 5 3 2.75 1.75 24 5
"85" 3 3 1 1 2 3 2 3 2 3 1 3 34 2.4 4 4 2.5 2.5 4.5 2.1 3.33333333333333 0 1 1 0 4 4 1 4 NA NA 3 2 1 1 2 1 4 3 2.5 2.25 31 4
"86" 3 3 2 1 1 3 2 4 2 3 1 4 46 4.6 2.5 3 3.5 4 4 3.1 4.33333333333333 0 1 1 0 3 3 4 2 5 5 3 2 1 1 1 3 5 3 2.75 2.25 52 5
"87" 2 2 3 2 3 2 3 2 3 2 2 2 35 2.8 4 4 4 3.5 4 2 4 1 1 0 0 3 3 4 2 4 4 1 2 1 1 1 3 4 NA NA NA NA NA
"88" 3 4 1 1 1 3 1 4 1 3 1 3 29 4 4 3.5 3.5 3.5 5 2.8 3.83333333333333 1 1 1 1 3 3 4 2 NA NA 3 2 2 1 1 1 5 3.25 3 2.25 23 5
"89" 2 3 3 2 1 3 1 2 3 2 1 2 43 4.4 3 3.5 3 4 4 2.6 3.33333333333333 0 1 1 0 4 3 4 2 NA NA 3 2 1 1 2 1 4 NA NA NA NA NA
"90" 3 3 2 1 2 3 3 4 2 3 2 3 83 5.8 3 4.5 4 3.5 4.5 2.8 3.5 0 1 1 0 4 3 3 2 NA NA 3 2 2 1 3 1 4 3 2.75 2 50 5
"91" 3 3 2 2 2 3 1 3 2 3 1 3 32 2.4 3 2.5 2 3 4 3 3 0 0 0 1 3 3 1 2 NA NA 3 2 2 1 3 1 5 3 3 3 22 5
"92" 2 1 4 3 2 1 3 2 4 2 4 1 35 2.2 2.5 4.5 5 5 5 3.1 4.83333333333333 0 1 0 0 4 4 4 2 3 4 3 2 1 2 2 4 5 2 1.75 3.25 21 5
"93" 3 1 2 1 2 3 1 4 2 2 1 2 71 5 5 2 4 3 5 2.3 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3 2.75 3 25 3
"94" 4 4 2 1 1 3 1 4 2 4 1 3 34 7 3.5 3.5 2 3.5 3 3.2 3.83333333333333 0 1 0 0 4 3 1 4 NA NA 3 2 1 1 1 1 4 3.25 3.25 2 39 5
"95" 3 1 3 2 4 3 4 3 2 1 1 4 72 3.2 4 4 4 2.5 5 2.4 4.33333333333333 0 1 1 1 3 3 4 2 4 3 3 2 1 1 1 3 5 3 1.75 2.25 35 5
"96" 4 3 2 1 1 3 2 3 2 4 1 3 38 5.8 5 3 3.5 4 3.5 3 4 0 0 0 0 3 3 3 1 4 5 2 2 1 2 1 2 5 3.25 2.75 2.25 26 5
"97" 4 3 2 1 2 3 2 3 1 3 1 3 58 6 5 5 5 1 5 2.7 3.83333333333333 1 0 0 0 4 1 3 4 NA NA 3 2 1 1 3 3 5 3.5 3.25 2.5 39 5
"98" 3 2 1 1 3 3 3 3 2 3 1 3 55 5 2.5 3 5 5 4.5 2.5 4.5 0 1 0 1 4 3 3 3 5 5 3 2 2 2 1 4 5 2.75 1.75 3 41 5
"99" 2 3 1 3 2 2 1 1 1 1 3 2 91 4.8 3.5 4 4.5 2 5 2.2 3.33333333333333 0 1 0 0 4 2 4 1 NA NA 1 1 1 1 2 3 4 3.25 3 2.5 74 5
"100" 4 4 1 1 1 4 1 4 1 4 1 4 18 7 4.5 4.5 2.5 1 4.5 2.7 3.83333333333333 1 1 1 1 4 2 4 2 NA NA 3 2 2 1 1 1 5 3.25 3.25 1.75 28 5
"101" 3 4 1 2 1 2 1 4 2 3 2 2 43 6 5 3.5 3.5 3.5 3.5 2.9 4 0 1 1 0 3 4 3 2 NA NA 3 2 2 1 2 1 5 3 3.25 2 34 5
"102" 3 2 4 1 2 2 2 3 3 2 3 1 82 4.8 1.5 3 4 4 2.5 3 2.83333333333333 1 1 0 0 4 4 1 2 5 5 3 2 2 2 1 4 5 3 2.75 2 38 5
"103" 3 2 4 3 3 1 3 1 4 1 4 2 36 2.8 2.5 4 3 4.5 3 2.9 3.66666666666667 0 1 1 0 3 4 4 2 NA NA 3 2 1 1 3 1 3 2.75 3 2.5 49 4
"104" 3 3 2 1 3 3 3 3 2 2 2 3 18 5.4 2.5 3.5 3 4 3.5 2.6 3.83333333333333 0 1 0 0 3 3 4 2 NA NA 3 2 1 2 2 2 5 2.75 2.75 2 20 5
"105" 4 3 2 1 3 3 3 4 3 4 1 3 61 6.8 5 3.5 4.5 2.5 4 2.6 3.5 0 1 1 0 4 3 3 3 5 5 3 2 1 1 2 1 5 3.25 3.25 2 42 5
"106" 3 3 2 2 2 2 3 3 3 2 2 1 29 5.2 3.5 4.5 4 4 4 2.8 4 0 1 0 0 4 3 4 2 5 4 3 2 1 2 3 2 5 2.75 2 2.25 28 5
"107" 3 1 2 2 3 3 4 3 2 2 1 2 54 5.2 1.5 3.5 3 2 4 2.8 3.16666666666667 0 1 0 0 4 3 4 2 4 4 2 2 1 2 1 4 5 2.75 2.75 2.5 37 5
"108" 1 2 2 4 3 3 3 2 2 2 4 2 36 1 1 5 3 3.5 4.5 2.5 2.83333333333333 1 1 0 0 4 4 3 2 NA NA 1 2 1 1 1 3 5 NA NA NA NA NA
"109" 2 3 2 3 3 2 2 2 2 2 2 2 60 1.2 1 5 3 3.5 4.5 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"110" 4 3 2 1 2 2 2 3 2 3 1 3 34 5.6 3.5 2 3.5 3 4 2.5 3.16666666666667 0 1 1 0 4 2 1 1 NA NA 1 2 2 1 2 4 4 3 3 2.5 33 4
"111" 3 3 2 1 1 3 2 3 3 2 1 3 46 4.6 4.5 4 4.5 3 1.5 2.9 4.33333333333333 1 1 0 0 3 2 4 2 NA NA 3 2 1 1 1 2 5 3.25 2.75 2 20 5
"112" 3 2 3 1 3 3 3 3 2 2 1 3 35 4.4 3.5 4 4 3.5 5 2.9 4 0 1 1 1 3 4 3 2 NA NA 3 2 1 1 2 1 5 2.5 2 2.25 28 5
"113" 3 2 3 1 1 2 2 2 3 3 3 2 50 4.8 3 4.5 4.5 3 4.5 3 4.33333333333333 0 1 0 1 4 3 4 2 3 5 3 2 1 1 2 4 5 2.75 2.75 3 42 4
"114" 4 2 3 1 2 3 3 4 2 3 1 3 78 6 3.5 4 4 2.5 4 2.3 3.83333333333333 1 1 0 0 4 2 3 4 NA NA 3 2 2 2 1 3 5 3.25 3 2 45 5
"115" 3 2 4 1 2 4 3 4 1 3 1 4 47 6.2 3 5 2 2 3 2.5 4 0 1 1 0 3 1 1 4 NA NA 3 2 2 1 2 1 5 3.25 2.5 1.5 46 5
"116" 3 2 3 1 2 2 2 3 3 4 2 3 36 3 3 3 2.5 3.5 4 2.6 4.16666666666667 0 1 0 0 2 3 3 4 NA NA 1 2 1 2 2 2 4 2.75 2.5 2.25 18 4
"117" 3 2 4 2 4 2 4 3 1 2 1 2 41 6 5 2 2.5 2 4 2.8 4.16666666666667 0 1 1 0 4 2 3 2 NA NA 1 2 1 2 1 2 5 3.25 1.75 2.5 28 4
"118" 4 3 2 1 2 3 3 3 2 3 1 3 43 5.6 3 3.5 3 2.5 4 2.6 3.66666666666667 0 1 0 0 3 2 4 2 NA NA 3 2 1 1 1 3 4 NA NA NA NA NA
"119" 3 2 3 2 3 2 3 3 3 2 3 2 126 5 3.5 4 2 3.5 5 2.8 3.66666666666667 1 1 1 0 3 4 1 2 4 5 2 2 1 2 2 2 4 2.75 2.5 2.5 47 4
"120" 3 4 2 1 2 2 2 4 1 2 2 3 50 4.6 3.5 4.5 3.5 4.5 3.5 3 3.83333333333333 0 1 0 0 4 3 1 2 NA NA 3 2 1 1 1 3 5 3.25 3.75 2.25 25 5
"121" 4 4 1 1 1 3 1 4 3 3 1 4 42 6 4.5 3.5 3.5 3.5 3.5 2.5 3 0 1 0 0 4 3 1 2 NA NA 3 2 2 1 2 1 5 2.75 2 2 37 5
"122" 3 3 1 1 2 3 3 3 2 4 2 3 36 3.2 2.5 3.5 3.5 3 4 2.6 3.66666666666667 0 1 1 0 3 3 4 2 NA NA 3 2 1 1 2 1 4 NA NA NA NA NA
"123" 3 3 2 1 2 3 2 3 3 3 2 3 87 6.4 2.5 4 2.5 3 5 2.3 3.33333333333333 0 1 0 1 4 2 1 2 NA NA 3 2 2 1 2 1 5 3.25 3 2.75 48 5
"124" 3 4 1 1 2 4 1 4 1 3 1 4 31 4.4 2 3.5 3.5 3 2.5 3 3.83333333333333 0 1 0 0 4 4 4 2 4 4 1 2 2 2 2 2 5 3 2.5 2 48 5
"125" 3 3 2 1 1 3 2 2 2 3 2 3 75 3.4 2 3 3.5 4 3.5 2.7 3 0 1 0 0 4 3 4 2 NA NA 1 NA 1 2 1 4 4 2.5 2.5 2.5 56 4
"126" 3 3 2 1 2 3 3 3 2 3 2 3 56 5.8 2 3.5 3.5 2 3 2.7 4 0 1 0 0 3 3 4 3 3 5 3 2 1 2 1 2 5 2.75 2.25 2.5 30 5
