"mdbf1","mdbf2","mdbf3","mdbf4","mdbf5","mdbf6","mdbf7","mdbf8","mdbf9","mdbf10","mdbf11","mdbf12","time_pre","lz","extra","vertr","gewis","neuro","offen","prok","trust","uni1","uni2","uni3","uni4","sicher","angst","fach","ziel","wissen","therap","lerntyp","hand","job","ort","ort12","wohnen","attent_pre","gs_post","wm_post","ru_post","time_post","attent_post"
4,3,2,1,1,3,2,3,2,4,1,3,38,5.8,5,3,3.5,4,3.5,3,2.33333333333333,0,0,0,0,3,3,3,1,4,5,2,2,1,2,1,2,5,3.25,2.75,2.25,26,5
4,3,2,1,2,3,2,3,1,3,1,3,58,6,5,5,5,1,5,2.7,2.16666666666667,1,0,0,0,4,1,3,4,NA,NA,3,2,1,1,3,3,5,3.5,3.25,2.5,39,5
3,2,1,1,3,3,3,3,2,3,1,3,55,5,2.5,3,5,5,4.5,2.5,1.83333333333333,0,1,0,1,4,3,3,3,5,5,3,2,2,2,1,4,5,2.75,1.75,3,41,5
2,3,1,3,2,2,1,1,1,1,3,2,91,4.8,3.5,4,4.5,2,5,2.2,3,0,1,0,0,4,2,4,1,NA,NA,1,1,1,1,2,3,4,3.25,3,2.5,74,5
4,4,1,1,1,4,1,4,1,4,1,4,18,7,4.5,4.5,2.5,1,4.5,2.7,2.16666666666667,1,1,1,1,4,2,4,2,NA,NA,3,2,2,1,1,1,5,3.25,3.25,1.75,28,5
3,4,1,2,1,2,1,4,2,3,2,2,43,6,5,3.5,3.5,3.5,3.5,2.9,2,0,1,1,0,3,4,3,2,NA,NA,3,2,2,1,2,1,5,3,3.25,2,34,5
3,2,4,1,2,2,2,3,3,2,3,1,82,4.8,1.5,3,4,4,2.5,3,3.16666666666667,1,1,0,0,4,4,1,2,5,5,3,2,2,2,1,4,5,3,2.75,2,38,5
3,2,4,3,3,1,3,1,4,1,4,2,36,2.8,2.5,4,3,4.5,3,2.9,2.66666666666667,0,1,1,0,3,4,4,2,NA,NA,3,2,1,1,3,1,3,2.75,3,2.5,49,4
3,3,2,1,3,3,3,3,2,2,2,3,18,5.4,2.5,3.5,3,4,3.5,2.6,2.5,0,1,0,0,3,3,4,2,NA,NA,3,2,1,2,2,2,5,2.75,2.75,2,20,5
4,3,2,1,3,3,3,4,3,4,1,3,61,6.8,5,3.5,4.5,2.5,4,2.6,2.83333333333333,0,1,1,0,4,3,3,3,5,5,3,2,1,1,2,1,5,3.25,3.25,2,42,5
3,3,2,2,2,2,3,3,3,2,2,1,29,5.2,3.5,4.5,4,4,4,2.8,2,0,1,0,0,4,3,4,2,5,4,3,2,1,2,3,2,5,2.75,2,2.25,28,5
3,1,2,2,3,3,4,3,2,2,1,2,54,5.2,1.5,3.5,3,2,4,2.8,2.83333333333333,0,1,0,0,4,3,4,2,4,4,2,2,1,2,1,4,5,2.75,2.75,2.5,37,5
1,2,2,4,3,3,3,2,2,2,4,2,36,1,1,5,3,3.5,4.5,2.5,3.16666666666667,1,1,0,0,4,4,3,2,NA,NA,1,2,1,1,1,3,5,NA,NA,NA,NA,NA
2,3,2,3,3,2,2,2,2,2,2,2,60,1.2,1,5,3,3.5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,3,2,1,2,2,2,3,2,3,1,3,34,5.6,3.5,2,3.5,3,4,2.5,2.83333333333333,0,1,1,0,4,2,1,1,NA,NA,1,2,2,1,2,4,4,3,3,2.5,33,4
3,3,2,1,1,3,2,3,3,2,1,3,46,4.6,4.5,4,4.5,3,1.5,2.9,2.33333333333333,1,1,0,0,3,2,4,2,NA,NA,3,2,1,1,1,2,5,3.25,2.75,2,20,5
3,2,3,1,3,3,3,3,2,2,1,3,35,4.4,3.5,4,4,3.5,5,2.9,2.33333333333333,0,1,1,1,3,4,3,2,NA,NA,3,2,1,1,2,1,5,2.5,2,2.25,28,5
3,2,3,1,1,2,2,2,3,3,3,2,50,4.8,3,4.5,4.5,3,4.5,3,2,0,1,0,1,4,3,4,2,3,5,3,2,1,1,2,4,5,2.75,2.75,3,42,4
4,2,3,1,2,3,3,4,2,3,1,3,78,6,3.5,4,4,2.5,4,2.3,2.5,1,1,0,0,4,2,3,4,NA,NA,3,2,2,2,1,3,5,3.25,3,2,45,5
3,2,4,1,2,4,3,4,1,3,1,4,47,6.2,3,5,2,2,3,2.5,2,0,1,1,0,3,1,1,4,NA,NA,3,2,2,1,2,1,5,3.25,2.5,1.5,46,5
3,2,3,1,2,2,2,3,3,4,2,3,36,3,3,3,2.5,3.5,4,2.6,2.16666666666667,0,1,0,0,2,3,3,4,NA,NA,1,2,1,2,2,2,4,2.75,2.5,2.25,18,4
3,2,4,2,4,2,4,3,1,2,1,2,41,6,5,2,2.5,2,4,2.8,2.16666666666667,0,1,1,0,4,2,3,2,NA,NA,1,2,1,2,1,2,5,3.25,1.75,2.5,28,4
4,3,2,1,2,3,3,3,2,3,1,3,43,5.6,3,3.5,3,2.5,4,2.6,2.66666666666667,0,1,0,0,3,2,4,2,NA,NA,3,2,1,1,1,3,4,NA,NA,NA,NA,NA
3,2,3,2,3,2,3,3,3,2,3,2,126,5,3.5,4,2,3.5,5,2.8,2.66666666666667,1,1,1,0,3,4,1,2,4,5,2,2,1,2,2,2,4,2.75,2.5,2.5,47,4
3,4,2,1,2,2,2,4,1,2,2,3,50,4.6,3.5,4.5,3.5,4.5,3.5,3,2.5,0,1,0,0,4,3,1,2,NA,NA,3,2,1,1,1,3,5,3.25,3.75,2.25,25,5
4,4,1,1,1,3,1,4,3,3,1,4,42,6,4.5,3.5,3.5,3.5,3.5,2.5,3,0,1,0,0,4,3,1,2,NA,NA,3,2,2,1,2,1,5,2.75,2,2,37,5
3,3,1,1,2,3,3,3,2,4,2,3,36,3.2,2.5,3.5,3.5,3,4,2.6,2.66666666666667,0,1,1,0,3,3,4,2,NA,NA,3,2,1,1,2,1,4,NA,NA,NA,NA,NA
3,3,2,1,2,3,2,3,3,3,2,3,87,6.4,2.5,4,2.5,3,5,2.3,3,0,1,0,1,4,2,1,2,NA,NA,3,2,2,1,2,1,5,3.25,3,2.75,48,5
3,4,1,1,2,4,1,4,1,3,1,4,31,4.4,2,3.5,3.5,3,2.5,3,1.83333333333333,0,1,0,0,4,4,4,2,4,4,1,2,2,2,2,2,5,3,2.5,2,48,5
3,3,2,1,1,3,2,2,2,3,2,3,75,3.4,2,3,3.5,4,3.5,2.7,3,0,1,0,0,4,3,4,2,NA,NA,1,NA,1,2,1,4,4,2.5,2.5,2.5,56,4
3,3,2,1,2,3,3,3,2,3,2,3,56,5.8,2,3.5,3.5,2,3,2.7,2.33333333333333,0,1,0,0,3,3,4,3,3,5,3,2,1,2,1,2,5,2.75,2.25,2.5,30,5
3,2,2,1,1,3,2,4,1,3,1,3,50,5.6,3,4,5,3,2.5,2.5,2,1,1,0,0,3,3,4,4,NA,NA,1,2,1,2,1,2,5,3.25,2.75,2.25,32,5
3,3,1,1,2,3,2,4,1,3,2,3,28,5.8,3,4,3.5,3,3,2.5,2.83333333333333,0,1,1,0,3,3,3,4,NA,NA,3,2,1,1,1,3,4,3.25,2.5,2.5,22,5
4,4,1,1,1,3,2,4,1,3,1,3,24,6,4.5,3.5,4,2,5,2.8,2.5,0,1,1,1,3,3,4,2,3,5,3,2,2,1,2,1,5,3,3,2.75,38,5
