"mdbf1_pre","mdbf2_pre","mdbf3_pre","mdbf4_pre","mdbf5_pre","mdbf6_pre","mdbf7_pre","mdbf8_pre","mdbf9_pre","mdbf10_pre","mdbf11_pre","mdbf12_pre","lz","extra","vertr","gewis","neuro","offen","prok","nerd","grund","fach","ziel","wissen","therap","lerntyp","hand","job","ort","ort12","wohnen","uni1","uni2","uni3","uni4","attent_pre","gs_post","wm_post","ru_post","attent_post"
3,3,3,1,1,2,3,4,1,3,1,4,4.8,3,3.5,3,4,1.5,2.8,2.66666666666667,"aus Interesse",4,2,3,4,1,2,1,2,1,2,1,0,0,0,5,NA,NA,NA,NA
2,1,2,1,2,3,3,3,1,2,1,4,4.6,1.5,3.5,3.5,3,2.5,2.2,4,"Interesse am menschlichen Verhalten und an der Wissenschaft",2,3,5,3,3,2,2,2,1,2,0,1,0,0,5,3.75,3.25,3.5,5
3,3,1,1,1,2,1,3,2,3,1,2,6,2.5,4,5,4,3,1.6,4.16666666666667,"Das vermittelte Wissen ist sehr spannend und es besteht die Möglichkeit mit Menschen zu arbeiten.",4,2,3,5,1,2,1,2,1,3,0,1,0,0,6,3.75,3.25,3.5,6
3,4,2,1,1,4,3,4,1,2,1,3,4,4,3.5,4.5,3,5,1.5,3.5,"Interesse",5,3,5,3,3,2,1,1,2,1,0,1,0,0,5,NA,NA,NA,NA
3,3,4,2,2,1,2,3,3,2,3,1,2.6,1.5,3,4,4,4,2.2,3.83333333333333,"War schon immer mein Traum ",4,2,4,5,1,2,2,1,1,3,0,1,0,0,5,3.75,3.5,2.5,5
3,2,3,2,3,2,2,3,3,2,2,2,4.8,3,3.5,4,5,3,2.7,2.5,"Interesse an psychologischen Inhalten und Verhalten des Menschen auch in Freizeit. ",4,NA,3,5,3,2,2,1,2,1,0,1,1,0,5,2.75,2,2,6
3,3,2,3,2,2,2,3,2,3,3,2,4,3,3.5,3.5,4,4,2.5,3.33333333333333,"Menschen helfen, Gutes tun, Veränderung",4,4,4,4,3,2,1,1,2,3,0,1,1,0,6,3,2,2.5,6
2,3,1,3,1,2,1,3,2,3,3,2,4,3.5,3,3.5,5,4.5,3.3,2.16666666666667,"Aus Interesse",3,3,3,4,1,2,2,1,2,4,0,1,1,0,6,3,3.75,3.75,6
3,2,3,3,3,1,2,2,4,2,3,1,5.2,2.5,4,4,4.5,3,2.9,2.83333333333333,"Interesse hat in der Schulzeit begonnen",4,2,2,4,1,2,2,1,2,1,0,1,1,0,5,3,2.5,2.75,4
2,3,1,1,1,4,2,3,1,3,1,4,5.4,3,3,4.5,1.5,5,1.5,2.83333333333333,"Hohes Interesse an wissenschaftlichem Arbeiten und an der Psyche des Menschen ",4,2,4,4,3,2,2,1,2,3,0,1,0,0,6,3.75,4,4,6
